"";"Species";"Ter";"Fos";"Aqu";"Arb";"Dir";"Lar";"Viv";"Litter_size_max_n"
"1";"Abavorana_luctuosa";1;NA;1;NA;0;1;0;NA
"2";"Acris_crepitans";1;NA;1;1;0;1;0;500
"3";"Acris_gryllus";1;NA;1;1;0;1;0;250
"4";"Adelotus_brevis";1;1;1;NA;0;1;0;243
"5";"Adenomera_bokermanni";1;NA;NA;NA;0;1;0;NA
"6";"Adenomera_hylaedactyla";1;NA;1;NA;0;1;0;15
"7";"Adenomera_marmorata";1;NA;NA;NA;0;1;0;14
"8";"Adenomus_kandianus";NA;NA;1;NA;0;1;0;NA
"9";"Adenomus_kelaartii";1;NA;1;1;0;1;0;1000
"10";"Afrixalus_delicatus";NA;NA;1;1;0;1;0;50
"11";"Afrixalus_dorsalis";NA;NA;1;1;0;1;0;100
"12";"Afrixalus_fornasini";1;NA;1;1;0;1;0;81
"13";"Afrixalus_laevis";NA;NA;1;1;0;1;0;NA
"14";"Afrixalus_nigeriensis";NA;NA;1;1;0;1;0;NA
"15";"Afrixalus_paradorsalis";NA;NA;1;1;0;1;0;NA
"16";"Afrixalus_stuhlmanni";1;NA;1;1;0;1;0;NA
"17";"Afrixalus_vittiger";1;NA;1;1;0;1;0;100
"18";"Afrixalus_weidholzi";1;NA;1;1;0;1;0;180
"19";"Agalychnis_aspera";1;NA;1;NA;NA;NA;NA;NA
"20";"Agalychnis_callidryas";1;NA;1;1;0;1;0;265
"21";"Agalychnis_spurrelli";1;NA;NA;1;0;1;0;265
"22";"Aglyptodactylus_laticeps";1;NA;1;1;0;1;0;3636
"23";"Aglyptodactylus_madagascariensis";1;NA;1;1;0;1;0;1600
"24";"Aglyptodactylus_securifer";1;NA;1;1;0;1;0;3636
"25";"Alcalus_baluensis";1;NA;1;NA;1;0;0;NA
"26";"Alcalus_mariae";1;NA;1;1;1;0;0;NA
"27";"Alcalus_sariba";NA;NA;NA;NA;NA;NA;NA;NA
"28";"Allobates_chalcopis";1;NA;NA;NA;0;1;0;NA
"29";"Allobates_femoralis";1;NA;1;NA;0;1;0;48
"30";"Allobates_olfersioides";1;NA;NA;NA;0;1;0;11
"31";"Allobates_talamancae";1;NA;1;NA;0;1;0;50
"32";"Alsodes_australis";1;NA;1;NA;0;1;0;NA
"33";"Alsodes_coppingeri";NA;NA;NA;NA;NA;NA;NA;NA
"34";"Alsodes_kaweshkari";1;NA;1;NA;0;1;0;NA
"35";"Alytes_muletensis";1;NA;NA;1;0;1;0;20
"36";"Amietia_poyntoni";1;NA;1;NA;0;1;0;NA
"37";"Amnirana_albolabris";1;NA;1;NA;0;1;0;NA
"38";"Amnirana_galamensis";1;NA;1;NA;0;1;0;5135
"39";"Amnirana_occidentalis";1;NA;NA;NA;0;1;0;NA
"40";"Amolops_hainanensis";1;NA;1;1;0;1;0;NA
"41";"Amolops_hongkongensis";1;NA;1;1;0;1;0;NA
"42";"Amolops_torrentis";1;NA;1;1;0;1;0;NA
"43";"Anaxyrus_americanus";1;NA;NA;NA;0;1;0;20000
"44";"Anaxyrus_boreas";1;NA;NA;NA;0;1;0;16500
"45";"Anaxyrus_fowleri";1;NA;NA;NA;0;1;0;10000
"46";"Anaxyrus_kelloggi";1;NA;NA;NA;0;1;0;NA
"47";"Anaxyrus_punctatus";1;1;NA;NA;0;1;0;5000
"48";"Anaxyrus_quercicus";1;1;NA;NA;0;1;0;6000
"49";"Anaxyrus_terrestris";1;1;NA;NA;0;1;0;4000
"50";"Anaxyrus_woodhousii";1;1;NA;NA;0;1;0;28500
"51";"Andinobates_claudiae";1;NA;NA;NA;0;1;0;4
"52";"Anilany_helenae";1;NA;1;NA;0;1;0;NA
"53";"Anodonthyla_emilei";NA;NA;NA;1;NA;NA;NA;NA
"54";"Anodonthyla_hutchisoni";1;NA;NA;1;0;1;0;29
"55";"Anodonthyla_jeanbai";NA;NA;NA;1;NA;NA;NA;NA
"56";"Anodonthyla_montana";1;NA;1;NA;0;1;0;NA
"57";"Anodonthyla_moramora";NA;NA;NA;NA;0;1;0;NA
"58";"Anodonthyla_nigrigularis";1;NA;NA;1;0;1;0;NA
"59";"Anodonthyla_pollicaris";NA;NA;NA;1;NA;NA;NA;NA
"60";"Anodonthyla_rouxae";1;NA;NA;1;0;1;0;NA
"61";"Anodonthyla_theoi";NA;NA;NA;1;NA;NA;NA;NA
"62";"Anodonthyla_vallani";NA;NA;NA;1;NA;NA;NA;NA
"63";"Ansonia_albomaculata";1;NA;1;NA;0;1;0;NA
"64";"Ansonia_echinata";NA;NA;NA;NA;NA;NA;NA;NA
"65";"Ansonia_fuliginea";1;NA;1;NA;0;1;0;NA
"66";"Ansonia_glandulosa";1;NA;1;NA;0;1;0;NA
"67";"Ansonia_guibei";1;NA;1;NA;0;1;0;NA
"68";"Ansonia_hanitschi";1;NA;1;NA;0;1;0;NA
"69";"Ansonia_kraensis";1;NA;1;NA;0;1;0;NA
"70";"Ansonia_latidisca";1;NA;1;NA;0;1;0;NA
"71";"Ansonia_leptopus";1;NA;1;NA;0;1;0;NA
"72";"Ansonia_longidigita";1;NA;1;NA;0;1;0;NA
"73";"Ansonia_malayana";1;NA;1;NA;0;1;0;300
"74";"Ansonia_mcgregori";1;NA;1;1;0;1;0;NA
"75";"Ansonia_minuta";1;NA;1;NA;0;1;0;NA
"76";"Ansonia_muelleri";1;NA;1;1;0;1;0;NA
"77";"Ansonia_penangensis";1;NA;1;1;0;1;0;NA
"78";"Ansonia_platysoma";1;NA;1;NA;0;1;0;NA
"79";"Ansonia_spinulifer";1;NA;1;NA;0;1;0;NA
"80";"Ansonia_tiomanica";1;NA;1;NA;0;1;0;NA
"81";"Ansonia_torrentis";1;NA;1;1;0;1;0;NA
"82";"Aparasphenodon_brunoi";1;NA;1;1;0;1;0;NA
"83";"Aphantophryne_minuta";1;NA;1;NA;1;0;0;NA
"84";"Aphantophryne_nana";1;NA;NA;1;1;0;0;NA
"85";"Aphantophryne_pansa";1;NA;1;NA;1;0;0;30
"86";"Aphantophryne_sabini";1;NA;1;NA;1;0;0;18
"87";"Aplastodiscus_eugenioi";NA;NA;1;1;0;1;0;88
"88";"Aplastodiscus_leucopygius";1;NA;1;1;0;1;0;322
"89";"Aplastodiscus_sibilatus";1;NA;1;NA;0;1;0;NA
"90";"Arcovomer_passarellii";1;NA;1;NA;0;1;0;203
"91";"Arenophryne_rotunda";1;1;1;NA;1;0;0;11
"92";"Arthroleptis_adelphus";1;NA;1;NA;1;0;0;NA
"93";"Arthroleptis_bioko";1;NA;NA;NA;NA;NA;NA;NA
"94";"Arthroleptis_poecilonotus";1;NA;1;1;1;0;0;30
"95";"Arthroleptis_stenodactylus";1;NA;1;NA;1;0;0;80
"96";"Arthroleptis_variabilis";1;NA;1;NA;1;0;0;NA
"97";"Arthroleptis_xenodactyloides";1;NA;1;NA;1;0;0;30
"98";"Ascaphus_truei";1;NA;1;NA;0;1;0;96
"99";"Assa_darlingtoni";1;NA;1;NA;0;1;0;14
"100";"Asterophrys_eurydactyla";NA;NA;NA;NA;NA;NA;NA;NA
"101";"Asterophrys_leucopus";1;NA;1;NA;1;0;0;NA
"102";"Asterophrys_marani";NA;NA;NA;NA;NA;NA;NA;NA
"103";"Asterophrys_pullifer";1;NA;NA;NA;NA;NA;NA;14
"104";"Asterophrys_slateri";NA;NA;NA;1;NA;NA;NA;NA
"105";"Asterophrys_turpicola";1;NA;1;NA;1;0;0;NA
"106";"Astylosternus_occidentalis";1;NA;1;1;0;1;0;NA
"107";"Aubria_occidentalis";1;NA;1;1;0;1;0;NA
"108";"Austrochaperina_adamantina";1;NA;1;NA;1;0;0;NA
"109";"Austrochaperina_adelphe";1;NA;1;NA;1;0;0;NA
"110";"Austrochaperina_aquilonia";1;NA;1;NA;1;0;0;NA
"111";"Austrochaperina_archboldi";1;NA;1;NA;1;0;0;NA
"112";"Austrochaperina_basipalmata";1;NA;1;NA;1;0;0;NA
"113";"Austrochaperina_blumi";1;NA;1;NA;1;0;0;NA
"114";"Austrochaperina_brevipes";1;NA;1;NA;1;0;0;14
"115";"Austrochaperina_derongo";1;NA;1;NA;1;0;0;NA
"116";"Austrochaperina_gracilipes";1;NA;1;NA;1;0;0;NA
"117";"Austrochaperina_hooglandi";1;NA;1;NA;1;0;0;NA
"118";"Austrochaperina_kosarek";1;NA;1;NA;1;0;0;NA
"119";"Austrochaperina_macrorhyncha";1;NA;1;NA;1;0;0;NA
"120";"Austrochaperina_mehelyi";1;NA;1;NA;1;0;0;NA
"121";"Austrochaperina_minutissima";1;NA;NA;NA;NA;NA;NA;NA
"122";"Austrochaperina_novaebritanniae";1;NA;1;NA;1;0;0;6
"123";"Austrochaperina_palmipes";1;NA;1;NA;1;0;0;19
"124";"Austrochaperina_parkeri";1;NA;1;NA;1;0;0;NA
"125";"Austrochaperina_polysticta";1;NA;1;NA;1;0;0;NA
"126";"Austrochaperina_rivularis";1;NA;1;NA;1;0;0;NA
"127";"Austrochaperina_septentrionalis";1;NA;1;NA;1;0;0;NA
"128";"Austrochaperina_yelaensis";1;NA;1;NA;1;0;0;NA
"129";"Babina_holsti";1;NA;NA;NA;0;1;0;NA
"130";"Babina_subaspera";1;NA;1;NA;0;1;0;NA
"131";"Barbourula_busuangensis";NA;1;NA;NA;NA;NA;NA;78
"132";"Barbourula_kalimantanensis";NA;1;NA;NA;NA;NA;NA;NA
"133";"Barygenys_atra";1;1;1;NA;1;0;0;NA
"134";"Barygenys_cheesmanae";1;1;1;NA;1;0;0;NA
"135";"Barygenys_exsul";1;1;1;NA;1;0;0;NA
"136";"Barygenys_flavigularis";1;1;1;NA;1;0;0;NA
"137";"Barygenys_maculata";1;1;1;NA;1;0;0;NA
"138";"Barygenys_nana";1;1;1;NA;1;0;0;NA
"139";"Barygenys_parvula";1;1;1;NA;1;0;0;NA
"140";"Batrachyla_antartandica";1;NA;1;1;0;1;0;NA
"141";"Batrachyla_leptopus";1;NA;NA;NA;0;1;0;NA
"142";"Batrachyla_nibaldoi";1;NA;NA;NA;0;1;0;NA
"143";"Batrachyla_taeniata";1;NA;NA;NA;0;1;0;NA
"144";"Bijurana_nicobariensis";NA;NA;NA;NA;NA;NA;NA;NA
"145";"Blommersia_angolafa";NA;NA;NA;NA;NA;NA;NA;NA
"146";"Blommersia_blommersae";NA;NA;NA;1;0;1;0;NA
"147";"Blommersia_dejongi";NA;NA;NA;1;NA;NA;NA;NA
"148";"Blommersia_domerguei";1;NA;NA;1;0;1;0;82
"149";"Blommersia_galani";NA;NA;NA;1;NA;NA;NA;NA
"150";"Blommersia_grandisonae";NA;NA;NA;1;0;1;0;NA
"151";"Blommersia_kely";NA;NA;NA;1;0;1;0;NA
"152";"Blommersia_sarotra";NA;NA;NA;NA;0;1;0;NA
"153";"Blommersia_wittei";1;NA;NA;1;0;1;0;NA
"154";"Boana_albomarginata";1;NA;1;1;0;1;0;1617
"155";"Boana_boans";1;NA;1;1;0;1;0;4800
"156";"Boana_cinerascens";1;NA;NA;1;0;1;0;840
"157";"Boana_crepitans";1;NA;NA;1;0;1;0;2131
"158";"Boana_faber";1;NA;1;1;0;1;0;3000
"159";"Boana_geographica";1;NA;1;1;0;1;0;4300
"160";"Boana_heilprini";1;NA;1;1;0;1;0;332
"161";"Boana_multifasciata";1;NA;1;1;0;1;0;1343
"162";"Boana_pardalis";1;NA;1;1;0;1;0;NA
"163";"Boana_pombali";1;NA;NA;1;0;1;0;NA
"164";"Boana_punctata";1;NA;NA;1;0;1;0;430
"165";"Boana_raniceps";1;NA;NA;1;0;1;0;3096
"166";"Boana_rosenbergi";1;NA;1;1;0;1;0;2500
"167";"Boana_rufitela";1;NA;NA;1;0;1;0;265
"168";"Boana_semilineata";1;NA;1;1;0;1;0;891
"169";"Boehmantis_microtympanum";1;NA;NA;NA;0;1;0;NA
"170";"Bombina_bombina";1;1;1;NA;0;1;0;300
"171";"Bombina_orientalis";1;1;1;NA;0;1;0;257
"172";"Bombina_variegata";1;1;1;NA;0;1;0;170
"173";"Boophis_albilabris";1;NA;NA;1;0;1;0;1029
"174";"Boophis_albipunctatus";NA;NA;NA;1;0;1;0;NA
"175";"Boophis_andohahela";NA;NA;NA;1;0;1;0;NA
"176";"Boophis_andrangoloaka";NA;NA;NA;1;NA;NA;NA;NA
"177";"Boophis_andreonei";NA;NA;NA;1;0;1;0;NA
"178";"Boophis_anjanaharibeensis";NA;NA;NA;1;0;1;0;NA
"179";"Boophis_ankaratra";NA;NA;NA;1;0;1;0;NA
"180";"Boophis_arcanus";NA;NA;NA;1;NA;NA;NA;NA
"181";"Boophis_axelmeyeri";NA;NA;NA;1;0;1;0;NA
"182";"Boophis_baetkei";NA;NA;NA;1;NA;NA;NA;NA
"183";"Boophis_blommersae";NA;NA;NA;1;0;1;0;NA
"184";"Boophis_boehmei";NA;NA;NA;1;0;1;0;NA
"185";"Boophis_bottae";NA;NA;NA;1;0;1;0;NA
"186";"Boophis_brachychir";NA;NA;NA;1;0;1;0;NA
"187";"Boophis_burgeri";NA;NA;NA;1;0;1;0;NA
"188";"Boophis_calcaratus";NA;NA;NA;1;NA;NA;NA;NA
"189";"Boophis_doulioti";1;NA;NA;1;0;1;0;4784
"190";"Boophis_elenae";NA;NA;NA;1;0;1;0;NA
"191";"Boophis_englaenderi";NA;NA;NA;1;0;1;0;NA
"192";"Boophis_entingae";NA;NA;NA;1;NA;NA;NA;NA
"193";"Boophis_erythrodactylus";NA;NA;NA;1;0;1;0;NA
"194";"Boophis_feonnyala";NA;NA;NA;1;0;1;0;NA
"195";"Boophis_goudotii";1;NA;NA;1;0;1;0;1000
"196";"Boophis_guibei";NA;NA;NA;1;0;1;0;NA
"197";"Boophis_haematopus";NA;NA;NA;1;0;1;0;NA
"198";"Boophis_haingana";NA;NA;NA;1;NA;NA;NA;NA
"199";"Boophis_idae";NA;NA;NA;1;0;1;0;NA
"200";"Boophis_jaegeri";NA;NA;NA;1;0;1;0;NA
"201";"Boophis_laurenti";1;NA;NA;1;0;1;0;NA
"202";"Boophis_liami";NA;NA;NA;1;0;1;0;NA
"203";"Boophis_lichenoides";NA;NA;NA;1;0;1;0;NA
"204";"Boophis_lilianae";NA;NA;NA;1;NA;NA;NA;NA
"205";"Boophis_luciae";NA;NA;NA;1;NA;NA;NA;NA
"206";"Boophis_luteus";NA;NA;NA;1;0;1;0;1000
"207";"Boophis_madagascariensis";NA;NA;NA;1;0;1;0;NA
"208";"Boophis_majori";NA;NA;NA;1;0;1;0;NA
"209";"Boophis_mandraka";NA;NA;NA;1;0;1;0;NA
"210";"Boophis_marojezensis";NA;NA;NA;1;0;1;0;133
"211";"Boophis_miadana";NA;NA;NA;1;NA;NA;NA;NA
"212";"Boophis_microtympanum";NA;NA;NA;1;0;1;0;NA
"213";"Boophis_miniatus";NA;NA;NA;1;0;1;0;248
"214";"Boophis_obscurus";1;NA;NA;1;NA;NA;NA;NA
"215";"Boophis_occidentalis";NA;NA;NA;1;0;1;0;NA
"216";"Boophis_opisthodon";NA;NA;NA;1;0;1;0;NA
"217";"Boophis_pauliani";NA;NA;NA;1;0;1;0;NA
"218";"Boophis_periegetes";NA;NA;NA;1;0;1;0;NA
"219";"Boophis_picturatus";NA;NA;NA;1;0;1;0;50
"220";"Boophis_piperatus";NA;NA;NA;1;NA;NA;NA;NA
"221";"Boophis_praedictus";NA;NA;NA;1;NA;NA;NA;NA
"222";"Boophis_pyrrhus";NA;NA;NA;1;0;1;0;NA
"223";"Boophis_quasiboehmei";NA;NA;NA;1;NA;NA;NA;NA
"224";"Boophis_rappiodes";NA;NA;NA;1;0;1;0;1000
"225";"Boophis_reticulatus";NA;NA;NA;1;0;1;0;NA
"226";"Boophis_rhodoscelis";NA;NA;NA;1;0;1;0;NA
"227";"Boophis_roseipalmatus";NA;NA;NA;1;NA;NA;NA;NA
"228";"Boophis_rufioculis";NA;NA;NA;1;0;1;0;NA
"229";"Boophis_sambirano";NA;NA;NA;1;0;1;0;NA
"230";"Boophis_sandrae";1;NA;NA;1;NA;NA;NA;NA
"231";"Boophis_schuboeae";NA;NA;NA;1;0;1;0;NA
"232";"Boophis_septentrionalis";NA;NA;NA;1;0;1;0;NA
"233";"Boophis_sibilans";NA;NA;NA;1;0;1;0;NA
"234";"Boophis_solomaso";NA;NA;NA;1;0;1;0;NA
"235";"Boophis_spinophis";NA;NA;NA;1;NA;NA;NA;NA
"236";"Boophis_tampoka";NA;NA;NA;1;NA;NA;NA;240
"237";"Boophis_tasymena";NA;NA;NA;1;0;1;0;NA
"238";"Boophis_tephraeomystax";NA;NA;NA;1;0;1;0;1000
"239";"Boophis_tsilomaro";NA;NA;NA;1;NA;NA;NA;1342
"240";"Boophis_ulftunni";NA;NA;NA;1;NA;NA;NA;NA
"241";"Boophis_viridis";NA;NA;NA;1;0;1;0;154
"242";"Boophis_vittatus";NA;NA;NA;1;0;1;0;NA
"243";"Boophis_williamsi";NA;NA;NA;1;0;1;0;NA
"244";"Boophis_xerophilus";1;NA;NA;1;0;1;0;4235
"245";"Brachycephalus_didactylus";1;NA;1;NA;1;0;0;NA
"246";"Brachycephalus_ephippium";1;NA;1;NA;1;0;0;5
"247";"Breviceps_adspersus";1;1;1;NA;1;0;0;46
"248";"Breviceps_mossambicus";1;1;1;NA;1;0;0;30
"249";"Buergeria_buergeri";1;NA;NA;1;0;1;0;659
"250";"Buergeria_japonica";1;NA;1;1;0;1;0;601
"251";"Buergeria_oxycephala";NA;NA;NA;1;0;1;0;NA
"252";"Buergeria_robusta";1;NA;1;NA;0;1;0;600
"253";"Bufo_bankorensis";1;NA;1;NA;0;1;0;3725
"254";"Bufo_bufo";1;NA;1;NA;0;1;0;10000
"255";"Bufo_gargarizans";1;NA;1;NA;0;1;0;7400
"256";"Bufo_japonicus";1;NA;1;NA;0;1;0;14000
"257";"Bufo_stejnegeri";1;NA;1;1;0;1;0;830
"258";"Bufo_torrenticola";1;NA;1;1;0;1;0;4000
"259";"Bufotes_balearicus";NA;NA;NA;NA;NA;NA;NA;NA
"260";"Bufotes_boulengeri";NA;NA;NA;NA;NA;NA;NA;NA
"261";"Bufotes_viridis";1;NA;1;NA;0;1;0;36950
"262";"Callulops_boettgeri";1;NA;1;NA;1;0;0;NA
"263";"Callulops_comptus";1;1;1;NA;1;0;0;NA
"264";"Callulops_doriae";1;NA;1;NA;1;0;0;NA
"265";"Callulops_dubius";1;NA;1;NA;1;0;0;NA
"266";"Callulops_eremnosphax";1;NA;NA;NA;NA;NA;NA;NA
"267";"Callulops_fuscus";1;NA;1;NA;1;0;0;NA
"268";"Callulops_glandulosus";1;NA;1;NA;1;0;0;NA
"269";"Callulops_humicola";1;NA;1;NA;1;0;0;NA
"270";"Callulops_kopsteini";1;NA;1;NA;1;0;0;NA
"271";"Callulops_marmoratus";1;1;NA;NA;1;0;0;NA
"272";"Callulops_omnistriatus";1;NA;NA;NA;NA;NA;NA;NA
"273";"Callulops_personatus";1;NA;1;NA;1;0;0;NA
"274";"Callulops_robustus";1;1;1;NA;1;0;0;NA
"275";"Callulops_sagittatus";1;NA;1;NA;1;0;0;NA
"276";"Callulops_stictogaster";1;NA;1;NA;1;0;0;NA
"277";"Callulops_wilhelmanus";1;NA;1;NA;1;0;0;NA
"278";"Cardioglossa_occidentalis";1;NA;NA;NA;NA;NA;NA;33
"279";"Ceratophrys_aurita";1;NA;NA;NA;0;1;0;NA
"280";"Chalcorana_chalconota";1;NA;NA;NA;0;1;0;NA
"281";"Chalcorana_crassiovis";1;NA;1;NA;0;1;0;NA
"282";"Chalcorana_kampeni";1;NA;NA;NA;0;1;0;NA
"283";"Chalcorana_macrops";1;NA;NA;NA;0;1;0;NA
"284";"Chalcorana_megalonesa";NA;NA;NA;NA;NA;NA;NA;1387
"285";"Chalcorana_mocquardii";NA;NA;NA;NA;NA;NA;NA;NA
"286";"Chalcorana_parvaccola";NA;NA;NA;NA;NA;NA;NA;NA
"287";"Chalcorana_raniceps";1;NA;1;NA;0;1;0;3096
"288";"Chalcorana_rufipes";NA;NA;NA;NA;NA;NA;NA;NA
"289";"Chaltenobatrachus_grandisonae";1;NA;1;1;0;1;0;NA
"290";"Chaperina_fusca";1;NA;1;NA;0;1;0;NA
"291";"Chiasmocleis_leucosticta";1;NA;1;NA;0;1;0;203
"292";"Chirixalus_doriae";1;NA;NA;1;0;1;0;990
"293";"Chirixalus_nongkhorensis";NA;NA;NA;1;0;1;0;NA
"294";"Chiromantis_rufescens";NA;NA;1;1;0;1;0;201
"295";"Chiromantis_xerampelina";NA;NA;1;1;0;1;0;1250
"296";"Choerophryne_allisoni";1;1;1;NA;1;0;0;NA
"297";"Choerophryne_amomani";1;1;1;NA;NA;NA;NA;NA
"298";"Choerophryne_arndtorum";1;1;1;NA;NA;NA;NA;NA
"299";"Choerophryne_brunhildae";1;NA;1;NA;1;0;0;NA
"300";"Choerophryne_burtoni";1;1;1;NA;1;0;0;NA
"301";"Choerophryne_darlingtoni";1;NA;1;NA;1;0;0;NA
"302";"Choerophryne_exclamitans";NA;NA;NA;1;1;0;0;NA
"303";"Choerophryne_fafniri";1;NA;1;NA;1;0;0;NA
"304";"Choerophryne_gunnari";1;NA;1;NA;1;0;0;NA
"305";"Choerophryne_laurini";NA;NA;NA;1;1;0;0;NA
"306";"Choerophryne_longirostris";1;1;1;NA;1;0;0;NA
"307";"Choerophryne_microps";1;1;1;NA;NA;NA;NA;NA
"308";"Choerophryne_nigrescens";1;1;1;NA;NA;NA;NA;NA
"309";"Choerophryne_proboscidea";1;1;1;NA;1;0;0;NA
"310";"Choerophryne_rhenaurum";1;NA;NA;NA;1;0;0;NA
"311";"Choerophryne_rostellifer";1;1;1;NA;1;0;0;NA
"312";"Choerophryne_sanguinopicta";NA;NA;NA;1;1;0;0;NA
"313";"Choerophryne_siegfriedi";1;NA;1;NA;1;0;0;NA
"314";"Choerophryne_swanhildae";1;NA;1;NA;1;0;0;NA
"315";"Choerophryne_tubercula";1;NA;1;NA;1;0;0;NA
"316";"Choerophryne_valkuriarum";1;NA;1;NA;1;0;0;NA
"317";"Choerophryne_variegata";1;NA;1;NA;1;0;0;NA
"318";"Cochranella_granulosa";1;NA;NA;1;0;1;0;55
"319";"Colostethus_pratti";1;NA;1;NA;0;1;0;NA
"320";"Conraua_crassipes";NA;NA;1;1;0;1;0;NA
"321";"Cophixalus_ateles";1;NA;1;NA;1;0;0;NA
"322";"Cophixalus_balbus";1;NA;NA;1;1;0;0;NA
"323";"Cophixalus_bewaniensis";1;NA;NA;1;1;0;0;NA
"324";"Cophixalus_biroi";1;NA;NA;1;1;0;0;NA
"325";"Cophixalus_caverniphilus";1;NA;NA;NA;NA;NA;NA;NA
"326";"Cophixalus_cheesmanae";1;NA;1;1;1;0;0;NA
"327";"Cophixalus_cryptotympanum";1;NA;1;1;1;0;0;NA
"328";"Cophixalus_cupricarenus";1;NA;NA;NA;NA;NA;NA;NA
"329";"Cophixalus_daymani";1;NA;1;NA;1;0;0;NA
"330";"Cophixalus_desticans";1;NA;NA;1;NA;NA;NA;NA
"331";"Cophixalus_humicola";1;NA;NA;NA;1;0;0;NA
"332";"Cophixalus_interruptus";NA;NA;NA;NA;NA;NA;NA;NA
"333";"Cophixalus_iovaorum";NA;NA;NA;NA;NA;NA;NA;NA
"334";"Cophixalus_kaindiensis";1;NA;NA;1;1;0;0;NA
"335";"Cophixalus_kethuk";NA;NA;NA;NA;NA;NA;NA;NA
"336";"Cophixalus_linnaeus";NA;NA;NA;NA;NA;NA;NA;NA
"337";"Cophixalus_melanops";NA;NA;NA;NA;NA;NA;NA;NA
"338";"Cophixalus_misimae";1;NA;NA;NA;1;0;0;NA
"339";"Cophixalus_monosyllabus";NA;NA;NA;1;NA;NA;NA;NA
"340";"Cophixalus_montanus";1;NA;1;NA;1;0;0;NA
